frame_no,ip_proto,dstport,encrypted
1,6,47538,Unknown
2,6,443,Encrypted
3,6,443,Encrypted
4,6,443,Encrypted
5,6,47538,Unknown
6,6,47538,Unknown
7,6,443,Encrypted
8,6,47538,Unknown
9,6,443,Encrypted
10,6,47538,Unknown
11,6,443,Encrypted
12,6,443,Encrypted
13,6,47538,Unknown
14,6,443,Encrypted
15,6,47538,Unknown
16,6,47538,Unknown
17,6,47538,Unknown
18,6,443,Encrypted
19,6,853,Unknown
20,17,,Unknown
21,17,,Unknown
22,6,443,Encrypted
23,6,58000,Unknown
24,6,443,Encrypted
25,6,443,Encrypted
26,6,58000,Unknown
27,17,,Unknown
28,17,,Unknown
29,6,443,Encrypted
30,6,51910,Unknown
31,6,443,Encrypted
32,6,443,Encrypted
33,6,51910,Unknown
34,6,443,Encrypted
35,6,51910,Unknown
36,6,51910,Unknown
37,6,443,Encrypted
38,6,58000,Unknown
39,6,51910,Unknown
40,6,443,Encrypted
41,6,443,Encrypted
42,6,443,Encrypted
43,6,58000,Unknown
44,6,443,Encrypted
45,6,51910,Unknown
46,6,443,Encrypted
47,6,51910,Unknown
48,6,443,Encrypted
49,6,51910,Unknown
50,6,443,Encrypted
51,6,51910,Unknown
52,6,443,Encrypted
53,6,51910,Unknown
54,6,443,Encrypted
55,6,51910,Unknown
56,17,,Unknown
57,17,,Unknown
58,6,58000,Unknown
59,17,,Unknown
60,17,,Unknown
61,6,51910,Unknown
62,6,443,Encrypted
63,6,443,Encrypted
64,6,443,Encrypted
65,6,58000,Unknown
66,6,54644,Unknown
67,6,443,Encrypted
68,6,443,Encrypted
69,6,443,Encrypted
70,6,54644,Unknown
71,6,54646,Unknown
72,6,443,Encrypted
73,6,443,Encrypted
74,6,443,Encrypted
75,6,54646,Unknown
76,6,54644,Unknown
77,6,443,Encrypted
78,6,54644,Unknown
79,6,443,Encrypted
80,6,54646,Unknown
81,6,443,Encrypted
82,6,54646,Unknown
83,6,443,Encrypted
84,6,443,Encrypted
85,6,54644,Unknown
86,6,443,Encrypted
87,6,443,Encrypted
88,6,54646,Unknown
89,6,54644,Unknown
90,6,54646,Unknown
91,6,443,Encrypted
92,6,443,Encrypted
93,6,54644,Unknown
94,6,54646,Unknown
95,6,443,Encrypted
96,6,54644,Unknown
97,6,443,Encrypted
98,6,54646,Unknown
99,6,443,Encrypted
100,6,54646,Unknown
