frame_no,ip_proto,dstport,encrypted
1,6,40438,Unknown
2,6,443,Encrypted
3,6,443,Encrypted
4,6,40438,Unknown
5,6,853,Unknown
6,6,40438,Unknown
7,6,443,Encrypted
8,6,40438,Unknown
9,6,443,Encrypted
10,6,443,Encrypted
11,6,443,Encrypted
12,6,40438,Unknown
13,6,40438,Unknown
14,6,443,Encrypted
15,6,443,Encrypted
16,6,443,Encrypted
17,6,46974,Unknown
18,6,443,Encrypted
19,6,443,Encrypted
20,6,46974,Unknown
21,17,,Unknown
22,17,,Unknown
23,6,8883,Unknown
24,6,46988,Unknown
25,6,443,Encrypted
26,6,443,Encrypted
27,6,46988,Unknown
28,6,46974,Unknown
29,6,443,Encrypted
30,6,443,Encrypted
31,6,46974,Unknown
32,6,443,Encrypted
33,6,46974,Unknown
34,6,45302,Unknown
35,6,8883,Unknown
36,6,8883,Unknown
37,6,45302,Unknown
38,6,46988,Unknown
39,6,443,Encrypted
40,6,46988,Unknown
41,6,443,Encrypted
42,6,443,Encrypted
43,6,46988,Unknown
44,6,443,Encrypted
45,6,46988,Unknown
46,6,443,Encrypted
47,6,46988,Unknown
48,6,443,Encrypted
49,6,46988,Unknown
50,6,443,Encrypted
51,6,46974,Unknown
52,6,46974,Unknown
53,6,443,Encrypted
54,6,46974,Unknown
55,6,46974,Unknown
56,6,46974,Unknown
57,6,443,Encrypted
58,6,45302,Unknown
59,6,8883,Unknown
60,6,45302,Unknown
61,6,8883,Unknown
62,6,8883,Unknown
63,6,45302,Unknown
64,6,46988,Unknown
65,6,443,Encrypted
66,6,46988,Unknown
67,6,45302,Unknown
68,6,8883,Unknown
69,6,45302,Unknown
70,6,46974,Unknown
71,6,443,Encrypted
72,6,46974,Unknown
73,6,45302,Unknown
74,6,8883,Unknown
75,6,45302,Unknown
76,6,8883,Unknown
77,6,45302,Unknown
78,6,45302,Unknown
79,6,8883,Unknown
80,6,46974,Unknown
81,6,46974,Unknown
82,6,443,Encrypted
83,6,46974,Unknown
84,6,443,Encrypted
85,6,46974,Unknown
86,17,,Unknown
87,17,,Unknown
88,6,80,Unencrypted
89,6,46974,Unknown
90,6,48524,Unknown
91,6,80,Unencrypted
92,6,80,Unencrypted
93,6,48524,Unknown
94,6,443,Encrypted
95,6,443,Encrypted
96,6,46974,Unknown
97,6,443,Encrypted
98,6,443,Encrypted
99,6,443,Encrypted
100,6,46974,Unknown
101,6,443,Encrypted
102,6,46974,Unknown
103,6,46974,Unknown
104,6,853,Unknown
105,6,46974,Unknown
106,6,443,Encrypted
107,6,46974,Unknown
108,6,46974,Unknown
109,6,443,Encrypted
110,6,46974,Unknown
111,6,46974,Unknown
112,6,443,Encrypted
113,6,46974,Unknown
114,6,80,Unencrypted
115,6,443,Encrypted
116,6,48532,Unknown
117,6,80,Unencrypted
118,6,80,Unencrypted
119,6,48532,Unknown
120,6,48532,Unknown
121,6,80,Unencrypted
122,6,80,Unencrypted
123,6,48532,Unknown
124,6,48532,Unknown
125,6,80,Unencrypted
126,6,48532,Unknown
127,6,48524,Unknown
128,6,80,Unencrypted
129,6,48532,Unknown
130,6,80,Unencrypted
131,6,48524,Unknown
