frame_no,ip_proto,dstport,encrypted
1,17,,Unknown
2,6,443,Encrypted
3,6,51334,Unknown
4,6,443,Encrypted
5,6,443,Encrypted
6,6,443,Encrypted
7,6,51334,Unknown
8,6,51334,Unknown
9,6,443,Encrypted
10,6,51334,Unknown
11,6,443,Encrypted
12,6,51334,Unknown
13,6,443,Encrypted
14,6,443,Encrypted
15,6,51334,Unknown
16,6,51334,Unknown
17,6,443,Encrypted
18,6,51334,Unknown
19,6,51334,Unknown
20,6,51334,Unknown
21,6,443,Encrypted
22,17,,Unknown
23,17,,Unknown
24,6,443,Encrypted
25,6,443,Encrypted
26,6,443,Encrypted
27,6,53476,Unknown
28,6,443,Encrypted
29,6,53470,Unknown
30,6,443,Encrypted
31,6,53472,Unknown
32,6,443,Encrypted
33,6,443,Encrypted
34,6,443,Encrypted
35,6,443,Encrypted
36,6,53470,Unknown
37,6,53472,Unknown
38,6,53476,Unknown
39,6,53476,Unknown
40,6,443,Encrypted
41,6,53476,Unknown
42,6,443,Encrypted
43,6,53470,Unknown
44,6,443,Encrypted
45,6,443,Encrypted
46,6,53476,Unknown
47,6,53470,Unknown
48,6,443,Encrypted
49,6,53472,Unknown
50,6,443,Encrypted
51,6,53472,Unknown
52,6,443,Encrypted
53,6,443,Encrypted
54,6,53470,Unknown
55,6,443,Encrypted
56,6,53472,Unknown
57,6,53476,Unknown
58,6,53470,Unknown
59,6,443,Encrypted
60,6,53476,Unknown
61,6,443,Encrypted
62,6,53470,Unknown
63,6,53472,Unknown
64,6,443,Encrypted
65,6,53472,Unknown
66,6,53476,Unknown
67,6,53476,Unknown
68,6,443,Encrypted
69,6,53476,Unknown
70,6,443,Encrypted
71,6,443,Encrypted
72,6,53482,Unknown
73,6,443,Encrypted
74,6,443,Encrypted
75,6,53482,Unknown
76,6,53482,Unknown
77,6,443,Encrypted
78,6,53482,Unknown
79,6,443,Encrypted
80,6,443,Encrypted
81,6,53482,Unknown
82,6,53482,Unknown
83,6,443,Encrypted
84,6,53482,Unknown
85,6,443,Encrypted
86,6,53476,Unknown
87,6,443,Encrypted
88,6,443,Encrypted
89,6,53490,Unknown
90,6,443,Encrypted
91,6,443,Encrypted
92,6,53490,Unknown
93,6,53486,Unknown
94,6,443,Encrypted
95,6,443,Encrypted
96,6,53486,Unknown
97,6,53490,Unknown
98,6,443,Encrypted
99,6,53490,Unknown
100,6,443,Encrypted
101,6,53486,Unknown
102,6,443,Encrypted
103,6,53486,Unknown
104,6,443,Encrypted
105,6,443,Encrypted
106,6,53490,Unknown
107,6,443,Encrypted
108,6,53486,Unknown
109,6,53490,Unknown
110,6,443,Encrypted
111,6,53490,Unknown
112,6,53486,Unknown
113,6,443,Encrypted
114,6,53486,Unknown
115,6,443,Encrypted
116,6,53486,Unknown
117,6,53494,Unknown
118,6,443,Encrypted
119,6,443,Encrypted
120,6,53494,Unknown
121,6,443,Encrypted
122,6,53494,Unknown
123,6,443,Encrypted
124,6,53494,Unknown
125,6,443,Encrypted
126,6,443,Encrypted
127,6,53494,Unknown
128,6,53494,Unknown
129,6,443,Encrypted
130,6,53494,Unknown
131,6,443,Encrypted
132,6,53486,Unknown
133,6,443,Encrypted
134,6,443,Encrypted
135,6,443,Encrypted
136,6,53490,Unknown
137,6,443,Encrypted
138,6,53500,Unknown
139,6,443,Encrypted
140,6,443,Encrypted
141,6,53500,Unknown
142,6,53502,Unknown
143,6,443,Encrypted
144,6,53498,Unknown
145,6,443,Encrypted
146,6,443,Encrypted
147,6,443,Encrypted
148,6,53498,Unknown
149,6,53502,Unknown
150,6,53500,Unknown
151,6,443,Encrypted
152,6,53500,Unknown
153,6,443,Encrypted
154,6,53502,Unknown
155,6,443,Encrypted
156,6,53502,Unknown
157,6,443,Encrypted
158,6,53498,Unknown
159,6,443,Encrypted
160,6,443,Encrypted
161,6,53500,Unknown
162,6,443,Encrypted
163,6,53502,Unknown
164,6,443,Encrypted
165,6,53498,Unknown
166,6,53500,Unknown
167,6,443,Encrypted
168,6,53500,Unknown
169,6,53502,Unknown
170,6,443,Encrypted
171,6,53502,Unknown
172,6,53498,Unknown
173,6,443,Encrypted
174,6,53498,Unknown
175,6,53498,Unknown
176,6,53498,Unknown
177,6,443,Encrypted
178,17,,Unknown
179,17,,Unknown
180,6,443,Encrypted
181,6,443,Encrypted
182,6,443,Encrypted
183,6,46202,Unknown
184,6,46204,Unknown
185,6,443,Encrypted
186,6,443,Encrypted
187,6,443,Encrypted
188,6,443,Encrypted
189,6,46202,Unknown
190,6,443,Encrypted
191,6,443,Encrypted
192,6,46204,Unknown
193,6,46210,Unknown
194,6,443,Encrypted
195,6,443,Encrypted
196,6,443,Encrypted
197,6,46210,Unknown
198,6,46202,Unknown
199,6,443,Encrypted
200,6,443,Encrypted
201,6,46202,Unknown
202,6,46204,Unknown
203,6,443,Encrypted
204,6,443,Encrypted
205,6,46204,Unknown
206,6,443,Encrypted
207,6,53490,Unknown
208,6,443,Encrypted
209,6,46204,Unknown
210,6,46210,Unknown
211,6,443,Encrypted
212,6,443,Encrypted
213,6,53498,Unknown
214,6,443,Encrypted
215,6,46210,Unknown
216,6,443,Encrypted
217,6,443,Encrypted
218,6,443,Encrypted
219,6,46202,Unknown
220,6,443,Encrypted
221,6,46210,Unknown
222,6,46204,Unknown
223,6,443,Encrypted
224,6,46204,Unknown
225,6,46204,Unknown
226,6,53470,Unknown
227,6,53470,Unknown
228,6,443,Encrypted
229,6,53522,Unknown
230,6,443,Encrypted
231,6,53524,Unknown
232,6,443,Encrypted
233,6,443,Encrypted
234,6,53522,Unknown
235,6,443,Encrypted
236,6,53524,Unknown
237,6,443,Encrypted
238,6,46202,Unknown
239,6,46210,Unknown
240,6,53490,Unknown
241,6,443,Encrypted
242,6,53490,Unknown
243,6,53522,Unknown
244,6,53524,Unknown
245,6,443,Encrypted
246,6,443,Encrypted
247,6,443,Encrypted
248,6,443,Encrypted
249,6,53524,Unknown
250,6,443,Encrypted
251,6,53522,Unknown
252,6,443,Encrypted
253,6,443,Encrypted
254,6,53522,Unknown
255,6,53524,Unknown
256,6,443,Encrypted
