frame_no,ip_proto,dstport,encrypted
1,6,443,Encrypted
2,6,48062,Unknown
3,6,443,Encrypted
4,6,443,Encrypted
5,6,48062,Unknown
6,6,48062,Unknown
7,6,443,Encrypted
8,6,443,Encrypted
9,6,443,Encrypted
10,6,48062,Unknown
11,6,443,Encrypted
12,6,48062,Unknown
13,6,48062,Unknown
14,6,443,Encrypted
15,6,48062,Unknown
16,6,48062,Unknown
17,6,48062,Unknown
18,6,443,Encrypted
19,6,48062,Unknown
20,6,48062,Unknown
21,6,443,Encrypted
22,6,48062,Unknown
23,6,48062,Unknown
24,6,443,Encrypted
25,6,48062,Unknown
26,6,48062,Unknown
27,6,443,Encrypted
28,6,48062,Unknown
29,6,48062,Unknown
30,6,443,Encrypted
31,6,48062,Unknown
32,6,48062,Unknown
33,6,443,Encrypted
34,6,48062,Unknown
35,6,48062,Unknown
36,6,443,Encrypted
37,6,48062,Unknown
38,6,48062,Unknown
39,6,443,Encrypted
40,6,48062,Unknown
41,6,48062,Unknown
42,6,443,Encrypted
43,6,443,Encrypted
44,6,39470,Unknown
45,6,443,Encrypted
46,6,443,Encrypted
47,6,39470,Unknown
48,6,39470,Unknown
49,6,443,Encrypted
50,6,443,Encrypted
51,6,39470,Unknown
52,6,443,Encrypted
53,6,39470,Unknown
54,6,443,Encrypted
55,6,39470,Unknown
56,6,443,Encrypted
57,6,39470,Unknown
58,6,39470,Unknown
59,6,443,Encrypted
60,6,39470,Unknown
61,6,39470,Unknown
62,6,39470,Unknown
63,6,443,Encrypted
64,6,39470,Unknown
65,6,39470,Unknown
66,6,443,Encrypted
67,6,39470,Unknown
68,6,39470,Unknown
69,6,39470,Unknown
70,6,443,Encrypted
71,6,443,Encrypted
72,6,39470,Unknown
73,6,39470,Unknown
74,6,443,Encrypted
75,6,443,Encrypted
76,6,39470,Unknown
77,6,39470,Unknown
78,6,443,Encrypted
79,6,39470,Unknown
80,6,443,Encrypted
81,6,39470,Unknown
82,6,443,Encrypted
83,6,39470,Unknown
84,6,443,Encrypted
85,6,39470,Unknown
86,6,443,Encrypted
87,6,39470,Unknown
88,6,443,Encrypted
89,6,39470,Unknown
90,6,443,Encrypted
91,6,39470,Unknown
92,6,443,Encrypted
93,6,39470,Unknown
94,6,443,Encrypted
95,6,39470,Unknown
96,6,443,Encrypted
97,6,39470,Unknown
98,6,39470,Unknown
99,6,443,Encrypted
100,6,443,Encrypted
101,6,39470,Unknown
102,6,443,Encrypted
103,6,39470,Unknown
104,6,443,Encrypted
105,17,,Unknown
106,17,,Unknown
107,6,443,Encrypted
108,6,443,Encrypted
109,6,39470,Unknown
110,6,39470,Unknown
111,6,39470,Unknown
112,6,443,Encrypted
113,6,39470,Unknown
114,6,39470,Unknown
115,6,443,Encrypted
116,6,39470,Unknown
117,6,39470,Unknown
118,6,443,Encrypted
119,6,39470,Unknown
120,6,39470,Unknown
121,6,443,Encrypted
122,6,39470,Unknown
123,6,39470,Unknown
124,6,443,Encrypted
125,6,39470,Unknown
126,6,39470,Unknown
127,6,443,Encrypted
128,6,39470,Unknown
129,6,39470,Unknown
130,6,443,Encrypted
131,6,39470,Unknown
132,6,39470,Unknown
133,6,443,Encrypted
134,6,39470,Unknown
135,6,41384,Unknown
136,6,443,Encrypted
137,6,443,Encrypted
138,6,443,Encrypted
139,6,41384,Unknown
140,6,41384,Unknown
141,6,443,Encrypted
142,6,41384,Unknown
143,6,443,Encrypted
144,6,41384,Unknown
145,6,443,Encrypted
146,6,41384,Unknown
147,6,443,Encrypted
148,6,443,Encrypted
149,6,39470,Unknown
150,6,39470,Unknown
151,6,443,Encrypted
152,6,39470,Unknown
153,6,443,Encrypted
154,6,39470,Unknown
155,6,443,Encrypted
156,6,443,Encrypted
157,6,39470,Unknown
158,6,443,Encrypted
159,6,41384,Unknown
160,6,39470,Unknown
161,6,443,Encrypted
162,6,39470,Unknown
163,6,443,Encrypted
164,6,39470,Unknown
165,6,443,Encrypted
166,6,39470,Unknown
167,6,443,Encrypted
168,6,39470,Unknown
169,6,443,Encrypted
170,6,39470,Unknown
171,6,443,Encrypted
172,6,39470,Unknown
173,6,443,Encrypted
174,6,39470,Unknown
175,6,443,Encrypted
176,6,39470,Unknown
177,6,443,Encrypted
178,6,39470,Unknown
179,6,443,Encrypted
180,6,39470,Unknown
181,6,443,Encrypted
182,6,41384,Unknown
183,6,443,Encrypted
184,6,41384,Unknown
185,6,443,Encrypted
186,6,443,Encrypted
187,6,41384,Unknown
188,6,443,Encrypted
189,6,41384,Unknown
190,6,443,Encrypted
191,6,41384,Unknown
192,6,443,Encrypted
193,6,41384,Unknown
194,6,443,Encrypted
195,6,39470,Unknown
196,6,39470,Unknown
197,6,443,Encrypted
198,6,39470,Unknown
199,6,443,Encrypted
200,6,41384,Unknown
201,6,41384,Unknown
202,6,443,Encrypted
203,6,443,Encrypted
204,6,39470,Unknown
205,6,39470,Unknown
206,6,39470,Unknown
207,6,443,Encrypted
208,6,39470,Unknown
209,6,39470,Unknown
210,6,443,Encrypted
211,6,39470,Unknown
212,6,39470,Unknown
213,6,39470,Unknown
214,6,443,Encrypted
215,6,443,Encrypted
216,6,47948,Unknown
217,6,443,Encrypted
218,6,443,Encrypted
219,6,47948,Unknown
220,6,853,Unknown
221,6,443,Encrypted
222,6,41384,Unknown
223,17,,Unknown
224,17,,Unknown
225,6,41384,Unknown
226,6,47948,Unknown
227,17,,Unknown
228,17,,Unknown
229,6,443,Encrypted
230,6,443,Encrypted
231,6,443,Encrypted
232,6,443,Encrypted
233,6,47948,Unknown
234,6,443,Encrypted
235,6,443,Encrypted
236,6,443,Encrypted
237,6,443,Encrypted
238,6,47948,Unknown
239,6,443,Encrypted
240,6,47948,Unknown
241,17,,Unknown
242,6,443,Encrypted
243,6,443,Encrypted
244,6,443,Encrypted
245,6,443,Encrypted
246,6,443,Encrypted
247,6,443,Encrypted
248,17,,Unknown
249,6,41384,Unknown
250,6,47948,Unknown
251,6,42844,Unknown
252,6,49156,Unknown
253,6,42858,Unknown
254,17,,Unknown
255,6,443,Encrypted
256,6,443,Encrypted
257,6,443,Encrypted
258,6,443,Encrypted
259,6,443,Encrypted
260,6,42844,Unknown
261,6,42858,Unknown
262,17,,Unknown
263,6,443,Encrypted
264,6,443,Encrypted
265,6,443,Encrypted
266,6,49156,Unknown
267,6,42870,Unknown
268,6,443,Encrypted
269,6,443,Encrypted
270,6,42870,Unknown
271,6,443,Encrypted
272,6,443,Encrypted
273,6,443,Encrypted
274,6,443,Encrypted
275,6,42880,Unknown
276,6,42896,Unknown
277,6,49162,Unknown
278,6,49172,Unknown
279,6,443,Encrypted
280,6,443,Encrypted
281,6,443,Encrypted
282,6,443,Encrypted
283,6,42844,Unknown
284,6,42858,Unknown
285,6,443,Encrypted
286,6,443,Encrypted
287,6,443,Encrypted
288,6,443,Encrypted
289,6,42880,Unknown
290,6,49172,Unknown
291,6,443,Encrypted
292,6,443,Encrypted
293,6,41384,Unknown
294,6,49156,Unknown
295,6,42870,Unknown
296,6,42896,Unknown
297,6,49162,Unknown
298,6,44474,Unknown
299,6,45480,Unknown
300,6,443,Encrypted
301,6,443,Encrypted
302,6,443,Encrypted
303,6,443,Encrypted
304,6,443,Encrypted
305,6,443,Encrypted
306,6,443,Encrypted
307,6,42844,Unknown
308,6,42858,Unknown
309,6,44482,Unknown
310,6,44490,Unknown
311,6,443,Encrypted
312,6,443,Encrypted
313,6,443,Encrypted
314,6,443,Encrypted
315,6,443,Encrypted
316,6,49156,Unknown
317,6,42870,Unknown
318,6,44474,Unknown
319,6,443,Encrypted
320,6,44482,Unknown
321,6,44506,Unknown
322,6,443,Encrypted
323,6,443,Encrypted
324,6,443,Encrypted
325,6,45480,Unknown
326,6,44490,Unknown
327,6,42880,Unknown
328,6,49172,Unknown
329,6,443,Encrypted
330,6,443,Encrypted
331,6,443,Encrypted
332,6,443,Encrypted
333,6,39470,Unknown
334,6,49172,Unknown
335,6,443,Encrypted
336,6,39470,Unknown
337,6,42844,Unknown
338,6,49156,Unknown
339,6,42858,Unknown
340,6,42870,Unknown
341,6,42896,Unknown
342,6,49162,Unknown
343,6,44474,Unknown
344,6,44506,Unknown
345,6,443,Encrypted
346,6,443,Encrypted
347,6,443,Encrypted
348,6,443,Encrypted
349,6,443,Encrypted
350,6,42858,Unknown
351,6,443,Encrypted
352,6,443,Encrypted
353,6,42870,Unknown
354,6,443,Encrypted
355,6,443,Encrypted
356,6,443,Encrypted
357,6,443,Encrypted
358,6,42844,Unknown
359,6,49156,Unknown
360,6,42858,Unknown
361,6,42870,Unknown
362,6,42896,Unknown
363,6,49172,Unknown
364,6,45480,Unknown
365,6,44482,Unknown
366,6,44490,Unknown
367,6,443,Encrypted
368,6,443,Encrypted
369,6,443,Encrypted
370,17,,Unknown
371,6,443,Encrypted
372,6,443,Encrypted
373,6,443,Encrypted
374,6,443,Encrypted
375,6,443,Encrypted
376,6,443,Encrypted
377,6,443,Encrypted
378,6,443,Encrypted
379,6,42844,Unknown
380,6,42880,Unknown
381,6,49172,Unknown
382,6,45480,Unknown
383,6,44482,Unknown
384,6,44490,Unknown
385,17,,Unknown
386,6,443,Encrypted
387,6,42896,Unknown
388,6,44506,Unknown
389,6,41410,Unknown
390,6,44212,Unknown
391,6,443,Encrypted
392,6,443,Encrypted
393,6,443,Encrypted
394,6,443,Encrypted
395,6,443,Encrypted
396,6,443,Encrypted
397,6,443,Encrypted
398,6,443,Encrypted
399,6,443,Encrypted
400,6,443,Encrypted
401,6,443,Encrypted
402,6,42896,Unknown
403,6,443,Encrypted
404,6,443,Encrypted
405,6,443,Encrypted
406,17,,Unknown
407,6,443,Encrypted
408,6,443,Encrypted
409,6,443,Encrypted
410,6,443,Encrypted
411,6,443,Encrypted
412,6,39470,Unknown
413,6,42844,Unknown
414,6,42880,Unknown
415,6,42896,Unknown
416,6,49162,Unknown
417,6,49172,Unknown
418,6,44474,Unknown
419,6,45480,Unknown
420,6,44482,Unknown
421,6,44490,Unknown
422,6,44506,Unknown
423,6,41410,Unknown
424,6,44212,Unknown
425,6,46318,Unknown
426,6,49076,Unknown
427,17,,Unknown
428,6,49090,Unknown
429,6,443,Encrypted
430,6,443,Encrypted
431,6,443,Encrypted
432,6,443,Encrypted
433,6,42844,Unknown
434,6,47952,Unknown
435,6,443,Encrypted
436,6,443,Encrypted
437,6,443,Encrypted
438,6,42880,Unknown
439,6,45480,Unknown
440,6,443,Encrypted
441,6,42880,Unknown
442,6,443,Encrypted
443,6,443,Encrypted
444,6,443,Encrypted
445,6,443,Encrypted
446,6,443,Encrypted
447,6,42844,Unknown
448,6,45480,Unknown
449,6,44482,Unknown
450,6,44490,Unknown
451,6,49076,Unknown
452,6,443,Encrypted
453,6,443,Encrypted
454,6,443,Encrypted
455,6,443,Encrypted
456,6,443,Encrypted
457,6,443,Encrypted
458,6,443,Encrypted
459,6,443,Encrypted
460,6,443,Encrypted
461,6,39470,Unknown
462,6,42844,Unknown
463,6,45480,Unknown
464,6,44482,Unknown
465,6,44490,Unknown
466,6,41410,Unknown
467,6,44212,Unknown
468,6,46318,Unknown
469,6,49076,Unknown
470,6,47952,Unknown
471,6,49180,Unknown
472,6,49090,Unknown
473,6,49092,Unknown
474,6,49100,Unknown
475,6,443,Encrypted
476,6,443,Encrypted
477,6,443,Encrypted
478,6,44490,Unknown
479,6,443,Encrypted
480,6,443,Encrypted
481,6,443,Encrypted
482,6,443,Encrypted
483,6,443,Encrypted
484,6,443,Encrypted
485,6,443,Encrypted
486,6,443,Encrypted
487,6,443,Encrypted
488,6,443,Encrypted
489,6,39470,Unknown
490,6,42844,Unknown
491,6,45480,Unknown
492,6,44482,Unknown
493,6,41410,Unknown
494,6,44212,Unknown
495,6,443,Encrypted
496,6,443,Encrypted
497,6,39470,Unknown
498,6,44482,Unknown
499,6,443,Encrypted
500,6,39470,Unknown
501,6,443,Encrypted
502,6,39470,Unknown
503,6,443,Encrypted
504,6,39470,Unknown
505,6,443,Encrypted
506,6,39470,Unknown
507,6,443,Encrypted
508,6,443,Encrypted
509,6,49162,Unknown
510,6,44474,Unknown
511,6,44506,Unknown
512,6,46318,Unknown
513,6,49102,Unknown
514,6,443,Encrypted
515,6,443,Encrypted
516,6,443,Encrypted
517,6,443,Encrypted
518,6,443,Encrypted
519,6,443,Encrypted
520,6,443,Encrypted
521,6,44474,Unknown
522,6,443,Encrypted
523,6,443,Encrypted
524,6,443,Encrypted
525,6,443,Encrypted
526,6,443,Encrypted
527,6,44506,Unknown
528,6,443,Encrypted
529,6,443,Encrypted
530,6,443,Encrypted
531,6,443,Encrypted
532,6,42844,Unknown
533,6,42880,Unknown
534,6,49162,Unknown
535,6,44474,Unknown
536,6,45480,Unknown
537,6,44482,Unknown
538,6,44506,Unknown
539,6,41410,Unknown
540,6,44212,Unknown
541,6,46318,Unknown
542,6,49076,Unknown
543,6,49180,Unknown
544,6,49090,Unknown
545,6,49092,Unknown
546,6,49100,Unknown
547,6,40878,Unknown
548,6,443,Encrypted
549,6,443,Encrypted
550,6,443,Encrypted
551,6,443,Encrypted
552,6,42844,Unknown
553,6,44482,Unknown
554,6,44490,Unknown
555,6,46318,Unknown
556,6,47952,Unknown
557,6,443,Encrypted
558,6,443,Encrypted
559,6,443,Encrypted
560,6,443,Encrypted
