frame_no,ip_proto,dstport,encrypted
1,17,,Unknown
2,17,,Unknown
3,17,,Unknown
4,6,443,Encrypted
5,6,443,Encrypted
6,6,443,Encrypted
7,6,443,Encrypted
8,17,,Unknown
9,6,443,Encrypted
10,6,443,Encrypted
11,6,443,Encrypted
12,6,443,Encrypted
13,6,443,Encrypted
14,6,49994,Unknown
15,6,443,Encrypted
16,6,49996,Unknown
17,6,443,Encrypted
18,6,443,Encrypted
19,6,443,Encrypted
20,6,443,Encrypted
21,6,443,Encrypted
22,6,49994,Unknown
23,6,49996,Unknown
24,6,50012,Unknown
25,6,443,Encrypted
26,6,50014,Unknown
27,6,443,Encrypted
28,6,443,Encrypted
29,6,443,Encrypted
30,6,50012,Unknown
31,6,50000,Unknown
32,6,443,Encrypted
33,6,443,Encrypted
34,6,443,Encrypted
35,6,49998,Unknown
36,6,50014,Unknown
37,6,443,Encrypted
38,6,50010,Unknown
39,6,443,Encrypted
40,6,50016,Unknown
41,6,443,Encrypted
42,6,50018,Unknown
43,6,443,Encrypted
44,6,443,Encrypted
45,6,443,Encrypted
46,6,443,Encrypted
47,6,443,Encrypted
48,6,443,Encrypted
49,6,443,Encrypted
50,6,443,Encrypted
51,6,443,Encrypted
52,6,443,Encrypted
53,6,443,Encrypted
54,6,49998,Unknown
55,6,50000,Unknown
56,6,50010,Unknown
57,6,50016,Unknown
58,6,50018,Unknown
59,6,49996,Unknown
60,6,443,Encrypted
61,6,49996,Unknown
62,6,443,Encrypted
63,6,49994,Unknown
64,6,443,Encrypted
65,6,49994,Unknown
66,6,443,Encrypted
67,6,443,Encrypted
68,6,49996,Unknown
69,6,443,Encrypted
70,6,443,Encrypted
71,6,49994,Unknown
72,6,49996,Unknown
73,6,443,Encrypted
74,6,443,Encrypted
75,6,49994,Unknown
76,6,49996,Unknown
77,6,443,Encrypted
78,6,49994,Unknown
79,6,443,Encrypted
80,6,49994,Unknown
81,6,443,Encrypted
82,6,49994,Unknown
83,6,443,Encrypted
84,6,49996,Unknown
85,6,50012,Unknown
86,6,443,Encrypted
87,6,443,Encrypted
88,6,49998,Unknown
89,6,50000,Unknown
90,6,50010,Unknown
91,6,50012,Unknown
92,6,50014,Unknown
93,6,50016,Unknown
94,6,443,Encrypted
95,6,443,Encrypted
96,6,443,Encrypted
97,6,443,Encrypted
98,6,49998,Unknown
99,6,443,Encrypted
100,6,443,Encrypted
101,6,443,Encrypted
102,6,443,Encrypted
103,6,443,Encrypted
104,6,443,Encrypted
105,6,50000,Unknown
106,6,443,Encrypted
107,6,443,Encrypted
108,6,443,Encrypted
109,6,50010,Unknown
110,6,443,Encrypted
111,6,443,Encrypted
112,6,443,Encrypted
113,6,50016,Unknown
114,6,443,Encrypted
115,6,50014,Unknown
116,6,49994,Unknown
117,6,49996,Unknown
118,6,49998,Unknown
119,6,50000,Unknown
120,6,50010,Unknown
121,6,50012,Unknown
122,6,50014,Unknown
123,6,50016,Unknown
124,6,50018,Unknown
125,6,443,Encrypted
126,6,49994,Unknown
127,6,443,Encrypted
128,6,443,Encrypted
129,6,49996,Unknown
130,6,50012,Unknown
131,6,443,Encrypted
132,6,49996,Unknown
133,6,443,Encrypted
134,6,50012,Unknown
135,6,49996,Unknown
136,6,49996,Unknown
137,6,443,Encrypted
138,6,443,Encrypted
139,6,50018,Unknown
140,6,443,Encrypted
141,6,50018,Unknown
142,6,443,Encrypted
143,6,50018,Unknown
144,6,443,Encrypted
145,6,50018,Unknown
146,6,443,Encrypted
147,6,50018,Unknown
148,6,443,Encrypted
149,6,50012,Unknown
150,6,50012,Unknown
151,6,50012,Unknown
152,6,443,Encrypted
153,6,443,Encrypted
154,6,50012,Unknown
155,6,50012,Unknown
156,6,50012,Unknown
157,6,50012,Unknown
158,6,443,Encrypted
159,6,50018,Unknown
160,6,443,Encrypted
161,6,50018,Unknown
162,6,50012,Unknown
163,6,49996,Unknown
164,6,50012,Unknown
165,6,443,Encrypted
166,6,50012,Unknown
167,6,50012,Unknown
168,6,443,Encrypted
169,6,50012,Unknown
170,6,443,Encrypted
171,6,443,Encrypted
172,6,443,Encrypted
173,6,49996,Unknown
174,6,49996,Unknown
175,6,443,Encrypted
176,6,443,Encrypted
177,6,443,Encrypted
178,6,49996,Unknown
179,6,50012,Unknown
180,6,49996,Unknown
181,6,443,Encrypted
182,6,50012,Unknown
183,6,443,Encrypted
184,6,443,Encrypted
185,6,50012,Unknown
186,6,443,Encrypted
187,6,50012,Unknown
188,6,50012,Unknown
189,6,443,Encrypted
190,6,50012,Unknown
191,6,443,Encrypted
192,6,443,Encrypted
193,6,49996,Unknown
194,6,49996,Unknown
195,6,443,Encrypted
196,6,443,Encrypted
197,6,50012,Unknown
198,6,443,Encrypted
199,6,49996,Unknown
200,6,49996,Unknown
201,6,443,Encrypted
202,6,50012,Unknown
203,6,443,Encrypted
204,6,443,Encrypted
205,6,50012,Unknown
206,6,443,Encrypted
207,6,50012,Unknown
208,6,50012,Unknown
209,6,443,Encrypted
210,6,50012,Unknown
211,6,443,Encrypted
212,6,443,Encrypted
213,6,49996,Unknown
214,6,443,Encrypted
215,6,50012,Unknown
216,6,443,Encrypted
217,6,50012,Unknown
218,6,443,Encrypted
219,6,50012,Unknown
220,6,443,Encrypted
221,6,50012,Unknown
222,6,49996,Unknown
223,6,443,Encrypted
224,6,50012,Unknown
225,6,50012,Unknown
226,6,50012,Unknown
227,6,443,Encrypted
